thing_id	color_ri	kcorrR	zspec	plate	MJD	fibre
131377517	0.3373323082923889	1.09685	0.5223	4304	55506	533
282868816	0.26664526760578156	1.08993	0.5691	3931	55350	563
421573358	0.31536708027124405	1.09538	0.544	4652	55672	617
752964	0.3313351944088936	1.04135	0.5032	2128	53800	277
54650975	0.31442350149154663	1.07143	0.5598	4365	55539	175
440160776	0.3006678782403469	1.08828	0.5092	4702	55618	383
167182938	0.34576498344540596	1.022	0.5736	4852	55689	97
63615669	0.3431464433670044	1.07283	0.5509	3792	55212	779
217931167	0.3680444359779358	1.08038	0.5786	4886	55737	317
294493733	0.35643674433231354	1.06223	0.5299	3956	55656	581
410144628	0.25468745455145836	1.08809	0.5659	3973	55323	349
80105898	0.2765378952026367	1.08891	0.5373	3766	55213	713
139061591	0.2840997204184532	1.05698	0.5289	4265	55505	559
215567795	0.3513641655445099	1.01366	0.5189	4066	55444	187
448381446	0.27488527446985245	1.03621	0.5245	3659	55181	65
46227614	0.26396898180246353	1.03601	0.5177	4387	55534	427
101214584	0.35435619950294495	1.06136	0.5733	4229	55501	651
400461309	0.2820618972182274	1.01035	0.5093	3860	55269	409
451380413	0.2801719158887863	1.07237	0.5329	4565	55591	983
163884773	0.3494457043707371	1.00847	0.508	4851	55680	53
93471252	0.27112075686454773	1.08485	0.5	4206	55471	737
146064615	0.3485491871833801	1.01119	0.5398	4318	55508	189
125774178	0.27491509169340134	1.07741	0.5632	4793	55648	591
153352440	0.28947581350803375	1.09807	0.5573	4084	55447	375
405970639	0.2851638197898865	1.00933	0.5154	4560	55575	265
133044644	0.3418819420039654	1.05536	0.5694	4306	55584	513
467948238	0.26840800046920776	1.07572	0.5194	3673	55178	221
157106912	0.337999165058136	1.01984	0.5177	4081	55365	1
195327536	0.31020045280456543	1.03077	0.5361	5066	55749	219
489014239	0.29171182960271835	1.05959	0.5066	3679	55209	138
391171614	0.33490752428770065	1.03637	0.5165	4647	55621	259
74367710	0.3054705560207367	1.02579	0.5486	4224	55481	95
176109303	0.27087727189064026	1.01757	0.5069	4896	55712	32
146517668	0.3586895614862442	1.0802	0.5101	4260	55478	113
127783913	0.3627612814307213	1.01822	0.5031	4734	55646	106
150858082	0.33184731751680374	1.09863	0.5219	4803	55734	613
332736968	0.32771601527929306	1.07169	0.5515	3953	55322	53
412278034	0.2872723639011383	1.09803	0.5673	4615	55618	947
140037028	0.3461049906909466	1.03676	0.5446	4305	55509	397
173116916	0.37616240605711937	1.00059	0.5102	4863	55688	571
422182890	0.31894805282354355	1.09963	0.548	3667	55566	941
459187498	0.2675875723361969	1.04298	0.5401	3669	55481	684
168632602	0.3202401399612427	1.06299	0.5422	4836	55689	895
82760857	0.32373714447021484	1.09986	0.5312	3744	55209	147
122652306	0.3692982345819473	1.02411	0.5403	4009	55648	173
178535657	0.27788810431957245	1.09975	0.5128	4893	55709	775
484882131	0.26288872212171555	1.02895	0.5761	3688	55273	307
106483483	0.2838877663016319	1.05982	0.5745	4232	55447	971
183861001	0.3531579375267029	1.02957	0.5771	4079	55363	517
127900830	0.35466890037059784	1.07144	0.5521	4316	55505	344
426181172	0.34487346559762955	1.06793	0.5857	3664	55245	401
161841781	0.34746015071868896	1.03318	0.5075	4851	55680	117
473711	0.35175721906125546	1.09401	0.5468	1357	53034	292
388480975	0.34779709950089455	1.08347	0.5502	3868	55360	913
180110643	0.35434606671333313	1.05259	0.533	4082	55367	145
341891091	0.2940606400370598	1.07945	0.507	4460	55533	999
403538785	0.27014484256505966	1.04542	0.5043	3762	55507	365
406060038	0.33737191185355186	1.09893	0.5208	4715	55653	791
141060391	0.347347691655159	1.03944	0.5397	4286	55499	594
418899718	0.310680627822876	1.01549	0.5585	3763	55508	231
268096831	0.3548831045627594	1.04662	0.5283	5029	55750	15
400979979	0.35075100511312485	1.03896	0.5263	3759	55236	489
416177280	0.2875797897577286	1.00823	0.5012	4649	55621	158
