thing_id	color_ri	kcorrR	zspec	plate	MJD	fibre
68041723	0.6132051050662994	0.231174	0.5745	4050	55599	82
55963738	0.4216513857245445	0.315946	0.5114	4047	55352	3
420140172	0.43342745676636696	0.499789	0.5038	3978	55330	517
409706389	0.5414385013282299	0.350286	0.5349	3973	55323	153
138297841	0.5903970561921597	0.222081	0.5964	4271	55507	679
165467612	0.5188477337360382	0.468531	0.5966	4859	55684	359
116987595	0.424268014729023	0.472261	0.5314	4019	55363	914
53285923	0.57439886033535	0.370073	0.5932	3786	55563	208
125763615	0.5350241363048553	0.431862	0.5229	4013	55629	97
463778525	0.6320463065057993	0.286931	0.5847	4693	55632	936
252645237	0.4923244044184685	0.379823	0.5019	4498	55615	773
209059705	0.5683410316705704	0.258694	0.511	4545	55567	553
428983718	0.4833115190267563	0.47893	0.5778	3802	55528	714
75271917	0.5557273626327515	0.383635	0.5179	4207	55475	407
129652917	0.653254970908165	0.446434	0.5479	4304	55506	315
202558140	0.5458002090454102	0.443662	0.5338	5065	55739	17
503383130	0.4751863032579422	0.451042	0.5047	3701	55540	893
156917535	0.5143454447388649	0.444496	0.5261	4779	55656	759
457089686	0.6175438705831766	0.197413	0.5435	4690	55653	90
204065448	0.7347662895917892	0.290479	0.527	4545	55567	895
169842069	0.5709435977041721	0.241951	0.5914	4861	55710	189
353046834	0.5782258287072182	0.262802	0.525	4725	55711	143
131685010	0.4943047761917114	0.406469	0.5692	4009	55648	859
113645484	0.4290740638971329	0.338537	0.5563	4213	55449	797
266646506	0.5084325075149536	0.417411	0.5951	3925	55338	221
376446170	0.4913059361279011	0.404551	0.5944	4953	55749	607
54392424	0.6479880064725876	0	0.5812	4041	55361	371
431676362	0.675851047039032	0.360541	0.5098	3657	55244	768
59633463	0.5984561890363693	0.279459	0.5564	4359	55533	729
428707923	0.6472415030002594	0.27368	0.5936	3805	55269	607
202501869	0.651822566986084	0.246557	0.531	4545	55567	773
394288318	0.4614787623286247	0.492524	0.5869	3863	55280	778
368818613	0.4672161117196083	0.477844	0.5073	3879	55244	619
128225260	0.4489237554371357	0.424544	0.5405	4273	55506	387
143643644	0.5834030881524086	0.261915	0.5716	4303	55508	460
64822618	0.5612088702619076	0.479878	0.5858	4350	55556	833
212468988	0.5132100433111191	0.380381	0.5158	4509	55574	575
59968636	0.5431786924600601	0.49483	0.53	4048	55602	848
233977400	0.5999191030859947	0.431163	0.596	4900	55739	765
128689066	0.4136533960700035	0.428114	0.5593	3822	55544	195
69476715	0.508078470826149	0.345675	0.5137	4023	55328	671
120890534	0.5043872073292732	0.322175	0.5826	3831	55543	905
377315547	0.4951470196247101	0.373203	0.5358	4961	55719	163
137814878	0.6369440108537674	0.481496	0.5968	4730	55630	759
319134755	0.6235295757651329	0.280918	0.5844	3954	55680	575
127722564	0.5109584257006645	0.339585	0.5338	4280	55503	67
395621482	0.4849742129445076	0.434189	0.5344	4623	55621	373
171758081	0.46446457505226135	0.413961	0.5615	5067	55751	207
424465394	0.5858672335743904	0.289325	0.5266	3763	55508	963
98290502	0.6234376430511475	0.214806	0.5949	4191	55444	519
306765998	0.5844829678535461	0.352029	0.5265	3949	55650	723
473731908	0.498795285820961	0.487996	0.5531	3686	55268	597
242289711	0.4754238948225975	0.458566	0.5967	4498	55615	89
124972349	0.5026196986436844	0.339817	0.5074	4736	55631	293
259873782	0.43471913039684296	0.417882	0.5976	4063	55364	505
344503706	0.5689079761505127	0.239202	0.5583	4454	55536	441
61485211	0.5445830002427101	0.441222	0.552	4345	55569	647
301929445	0.6162233203649521	0.340402	0.5993	4057	55357	871
201343801	0.5996631011366844	0.232205	0.5832	4094	55481	923
298162218	0.48726729303598404	0.463889	0.5698	3962	55660	339
483020358	0.4567292332649231	0.408036	0.5019	3696	55277	771
484943778	0.5949108898639679	0.249696	0.5039	3696	55277	849
135993152	0.4407249838113785	0.484853	0.5304	4730	55630	523
252375348	0.649416096508503	0.370747	0.5305	4495	55566	149
62565445	0.48510461300611496	0.45248	0.5239	3781	55243	279
